hid,Location,Caste,House.Material,Age,Gender,Education,q3_Ladder,q5_AgriTrends,q6_AgroDiversity,q7_AgroWildlife,q11_ForestArea,q12_ForestQuality,q13_ForestWildlife,q15_FreshwaterQuant,q16_FreshwaterQual,q17_FreshwaterWildlife,q19A_GrasslandEcosystem,q20_NatureFood,q22_FoodTrends,q24_EnoughFood,q25_Farmpc,q26_Huntpc,q27_Land_ha,tlu,q29_Occupation_Business,q29_Occupation_Tourism,q29_Occupation_Health,q29_Occupation_Agriculture,q29_Occupation_Government,q29_Occupation_Education,q29_Occupation_Labour,q29_Occupation_Private,q29_Occupation_Others,q30_EnoughIncome,q31_NatureWork,q33_IncomeTrends,q35_Healthy,q37_HealthCheck_Hospital,q37_HealthCheck_Aayurved,q37_HealthCheck_Homemade,q37_HealthCheck_Pharmacy,q37_HealthCheck_Dhami,q39_NatureHealth,q41_HealthTrends,q43_WaterSource_Tap,q43_WaterSource_River,q43_WaterSource_Tube,q43_WaterSource_Spring,q43_WaterSource_Well,q43_WaterSource_Lake,q43_WaterSource_Others,q44_Toilet,q45_NatureWater,q47_WaterShortage,q48_WaterTrends,q50_Electricity,q51_Cook,q52_NatureEnergy,q54_EnergySuff,q55_ElectricitySuff,q56_EnergyTrends,q57_ElectricityTrends,q59_FamEducation,q60_EnvEducation_School,q60_EnvEducation_Media,q60_EnvEducation_Fam,q60_EnvEducation_Elders,q60_EnvEducation_NGO,q60_EnvEducation_Others,q61_NatureEducation,q62_EducationTrends,q64_Drr,q66_DrrTrends,q67_NatureDrr,q70_Recre,q74_NatureRecrea,q75_Culture,q79_NatureCulture,q82_ConservationNature,q84_ConservationPeople,Nature
MF9,Sulubung,Higher,1,21,1,2,5,4,4,2,2,2,2,4,4,4,,4,2,1,3,0,1.78,1.2,0,0,0,1,0,0,0,0,0,4,4,4,2,1,0,0,0,0,4,2,1,0,0,1,0,0,0,1,2,5,4,1,Firewood,1,2,2,2,1,1,1,1,1,0,0,0,2,1,4,2,2,1,1,1,1,1,1,Living and Non-living
MF10,Sulubung,Ethnic,1,25,1,4,5,4,4,4,2,3,2,4,2,4,,4,4,1,5,0,0.81,1.8,0,0,0,1,0,0,0,0,0,4,4,4,2,1,0,0,0,0,4,3,1,0,0,1,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,4,3,4,2,3,1,1,1,1,1,3,Living and Non-living
MF11,Sulubung,Higher,1,67,2,2,5,4,4,1,2,2,2,4,4,3,,4,2,1,10,0,2.04,1.1,0,0,0,1,0,0,0,0,0,4,4,3,2,1,0,0,0,0,4,2,1,0,0,1,0,0,0,1,4,0,3,1,Firewood,2,2,2,1,2,1,1,1,1,0,0,0,2,2,4,3,2,1,1,1,1,2,2,Living and Non-living
MF12,Sulubung,Higher,1,20,1,5,5,2,4,2,4,4,4,4,3,4,,2,2,1,20,0,1.27,1,0,0,0,1,0,0,0,0,0,4,2,3,2,1,0,0,0,0,2,3,1,0,0,1,0,0,0,1,2,3,1,1,Firewood,2,2,1,2,1,1,1,1,1,1,0,0,3,1,4,2,3,1,1,1,2,2,2,Living and Non-living
MD10,Sulubung,Ethnic,2,26,1,4,5,4,4,3,5,4,4,4,3,5,,3,2,1,40,0,1.27,0.7,0,0,0,1,0,0,0,0,0,2,3,3,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,2,1,1,Firewood,5,5,1,2,1,1,1,1,1,0,0,0,3,1,4,3,2,1,2,1,2,,,Living and Non-living
MD11,Sulubung,Ethnic,2,61,1,2,4,5,3,2,2,3,2,2,3,3,,3,2,1,20,0,0.25,2.7,0,0,0,1,0,0,0,0,0,4,3,3,1,1,0,0,0,0,3,3,0,0,0,1,0,0,0,1,2,2,1,1,Firewood,4,4,1,3,1,1,1,1,0,0,0,0,3,1,4,3,2,1,1,0,2,,,Living and Non-living
MD12,Sulubung,Ethnic,2,41,1,2,5,4,4,3,2,3,2,2,3,5,,3,5,0,10,0,1.58,1.1,1,0,0,0,0,0,0,0,0,4,4,5,1,1,0,1,0,0,3,5,0,0,0,1,0,0,0,1,3,0,1,1,Firewood,2,2,1,2,1,1,1,0,0,0,0,0,3,1,4,3,2,0,2,1,1,3,2,Living and Non-living
MD13,Sulubung,Ethnic,1,,1,3,3,3,4,3,5,3,5,3,2,3,,4,1,1,20,0,0.76,2.8,0,0,0,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,3,1,4,3,3,1,1,1,1,3,1,Living and Non-living
MD14,Sulubung,Ethnic,1,35,1,2,2,4,3,2,4,4,5,4,3,5,,3,1,1,40,0,1.27,1.8,0,0,0,1,0,0,0,0,0,2,3,2,1,1,0,0,0,0,4,4,0,0,0,1,0,0,0,1,3,0,4,1,Firewood,3,4,1,4,1,1,1,0,1,0,0,0,3,1,4,3,2,1,3,0,1,3,1,Living and Non-living
ME11,Sulubung,Ethnic,2,50,1,2,6,3,3,3,4,4,2,4,4,3,,3,3,1,30,0,1.12,1.8,1,0,0,0,0,0,0,0,0,2,3,3,3,1,0,0,0,0,3,3,0,0,0,1,0,0,0,1,3,0,2,1,LPG,3,2,1,1,1,1,1,0,1,0,0,0,3,3,4,3,4,0,5,0,5,,,Living and Non-living
ME12,Sulubung,Ethnic,1,57,2,2,5,3,4,2,5,5,5,3,4,3,,4,1,1,30,0,1.22,3.5,0,0,0,1,0,0,0,0,0,1,4,1,2,1,0,0,0,0,4,1,1,0,0,1,0,0,0,1,1,0,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,3,1,3,3,1,1,1,1,1,,,Living and Non-living
ME13,Sulubung,Ethnic,2,20,1,2,4,4,3,3,2,3,2,2,3,5,,3,2,1,30,0,1.53,0,1,0,0,0,0,0,0,0,0,4,3,3,2,0,0,1,1,0,3,2,0,0,0,1,0,0,0,1,3,0,2,1,Firewood,3,2,1,2,1,2,1,0,1,0,0,0,3,2,4,3,1,0,1,0,2,,,Living and Non-living
ME14,Sulubung,Ethnic,1,50,2,4,7,5,2,5,1,2,3,3,3,5,,3,1,1,30,0,0.92,3,0,0,0,0,1,0,0,0,0,2,3,1,1,1,0,1,0,0,3,1,0,0,0,1,0,0,0,1,3,2,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,3,1,4,3,1,1,1,1,1,3,2,Living and Non-living
ME15,Sulubung,Ethnic,1,40,1,2,6,4,4,3,5,4,5,5,3,5,,3,1,1,40,0,0.92,1.6,0,0,0,1,0,0,0,0,0,2,3,2,3,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,3,2,4,1,Firewood,3,4,1,4,1,1,1,0,1,0,0,0,3,1,4,3,2,1,3,1,1,,,Living and Non-living
ME16,Sulubung,Ethnic,1,41,2,5,8,5,5,3,5,4,5,5,2,5,,4,2,1,20,0,0.76,0.9,0,0,0,0,1,0,0,0,0,2,3,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,3,2,2,1,Firewood,3,4,1,4,1,1,1,0,1,0,0,0,3,1,4,3,2,0,1,1,1,,,Living and Non-living
MB15,Sulubung,Higher,2,52,2,4,5,4,2,2,4,3,2,4,3,3,,2,2,1,40,0,0.46,0.7,0,0,0,1,0,0,0,0,0,2,2,2,1,1,0,0,1,0,1,3,1,0,0,1,0,0,0,1,2,3,3,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,3,1,4,3,2,1,1,1,2,,,Non-Living
MB16,Sulubung,Ethnic,2,51,2,3,7,5,5,3,4,4,2,4,4,3,,1,2,1,30,0,0.76,0,1,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,1,0,1,3,1,0,0,1,0,0,0,1,1,0,3,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,3,2,4,3,2,1,2,0,2,2,3,Living
MB17,Sulubung,Ethnic,2,67,2,1,6,3,3,4,3,3,3,2,3,3,,3,2,1,25,0,0.31,0.9,0,0,0,1,0,0,0,0,0,4,3,2,3,0,0,1,1,0,2,2,1,0,0,1,0,0,0,1,2,0,2,0,Firewood,2,4,5,4,3,2,1,0,1,0,0,0,3,2,4,3,3,0,2,0,2,,,Living and Non-living
MB18,Sulubung,Ethnic,2,66,2,1,3,2,2,4,1,1,1,1,3,3,,2,1,1,50,0,0.87,1.4,0,0,0,1,0,0,0,0,0,1,2,1,4,1,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,2,1,1,Firewood,1,1,1,1,1,2,1,1,1,0,0,0,2,1,4,4,1,0,1,1,1,,,Living and Non-living
MB19,Sulubung,Higher,1,73,2,2,8,5,4,2,1,1,2,4,5,3,,3,1,1,75,0,2.04,0.9,0,0,0,1,0,0,0,0,0,1,3,5,2,1,0,0,1,0,2,3,1,0,0,0,0,0,0,1,2,0,3,1,Firewood,1,1,1,3,1,1,1,1,1,1,0,0,2,2,4,2,1,1,1,1,1,2,2,Living
MB20,Sulubung,Higher,2,21,2,3,9,4,3,3,4,3,4,3,4,3,,2,2,2,30,0,5.09,3.2,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,1,1,1,3,4,1,0,0,0,0,0,0,1,1,0,1,1,Firewood,1,1,1,3,1,2,1,0,0,0,0,0,3,2,4,2,3,0,2,1,2,2,2,Living and Non-living
MC15,Sulubung,Higher,2,49,1,2,8,4,3,2,3,3,2,4,4,3,,4,2,1,30,0,1.02,1.6,0,0,0,1,0,0,0,0,0,2,3,2,2,0,0,1,1,1,3,3,1,0,0,0,0,0,0,1,4,2,4,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,3,2,4,2,3,0,2,1,1,2,2,Non-Living
MC16,Sulubung,Ethnic,1,37,2,2,5,4,4,2,2,2,2,3,4,3,,4,2,1,50,0,0.2,2.7,0,0,0,1,0,0,0,0,0,5,3,2,2,0,0,1,1,1,1,3,0,0,0,1,0,0,0,1,1,0,2,1,Firewood,1,2,1,2,1,0,1,1,1,1,0,0,2,2,4,2,1,1,2,1,2,1,2,Non-Living
MC17,Sulubung,Higher,2,45,2,2,1,4,2,2,4,4,4,4,3,3,,4,3,1,20,0,1.78,0.9,0,0,0,1,0,0,0,0,0,2,3,4,2,0,0,0,1,1,2,2,0,0,0,1,0,0,0,1,2,0,3,1,Firewood,2,2,1,2,1,1,1,1,0,0,0,0,3,3,4,2,2,0,2,1,3,,,Non-Living
MC18,Sulubung,Ethnic,2,64,2,2,3,4,4,2,2,2,2,4,4,3,,4,4,1,40,0,0.92,0.7,0,0,0,1,0,0,0,0,0,4,3,5,1,0,0,1,1,1,3,3,0,0,0,1,0,0,0,1,2,4,4,1,Firewood,2,1,1,4,1,4,0,0,0,0,0,0,3,3,4,3,3,1,1,1,1,,,I don't know
MC19,Sulubung,Higher,2,53,2,2,4,4,2,4,2,2,3,4,2,3,,2,2,1,25,0,0.76,1.7,0,0,0,1,0,0,0,0,0,4,3,2,2,0,0,0,1,1,4,2,0,0,0,1,0,0,0,1,2,0,2,1,Firewood,2,2,1,2,1,1,1,1,1,0,0,0,4,2,4,2,2,0,2,1,1,2,2,Non-Living
MC20,Sulubung,Ethnic,1,52,1,1,5,3,3,2,2,2,2,2,2,3,,4,1,1,40,0,1.12,1.4,0,0,0,0,1,0,0,0,0,1,4,2,2,1,0,0,1,1,2,3,1,0,0,0,0,0,0,1,4,2,1,1,Firewood,1,1,1,3,1,3,0,0,0,0,0,0,3,2,4,3,3,1,1,1,2,,,Non-Living
MA13,Sulubung,Higher,1,40,1,3,5,4,4,3,3,2,4,3,4,4,,4,1,1,30,0,,1.7,0,0,0,1,0,0,0,0,0,2,4,2,3,1,0,1,1,0,4,1,1,0,0,0,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,4,1,3,3,3,0,3,1,3,2,2,Non-Living
MA14,Sulubung,Higher,1,29,2,5,10,5,5,1,4,2,4,4,2,4,,3,1,1,20,0,,0.7,0,0,0,1,0,0,0,0,0,1,4,2,1,1,1,1,1,1,4,2,1,0,0,0,0,0,0,1,1,0,1,1,Firewood,1,1,1,4,1,1,1,1,1,0,0,0,4,1,4,2,3,0,2,1,2,2,2,Living and Non-living
MA15,Sulubung,Higher,1,26,1,5,5,4,2,2,1,1,2,4,2,2,,2,1,1,30,0,,0.8,0,0,0,1,0,0,0,0,0,1,2,2,2,1,0,1,0,0,2,4,1,0,0,0,0,0,0,1,2,0,3,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,3,1,4,1,4,0,2,1,2,4,3,Non-Living
MA16,Sulubung,Higher,1,69,2,2,7,5,4,2,4,2,2,5,1,4,,3,1,1,20,0,,1.6,0,0,0,1,0,0,0,0,0,2,2,1,1,1,0,1,0,1,2,4,1,0,0,0,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,1,1,1,0,0,1,0,3,1,4,2,4,0,1,1,1,1,2,Living and Non-living
MA17,Sulubung,Ethnic,1,30,1,4,8,4,4,4,4,4,4,4,2,4,,2,2,1,20,0,,1.2,0,0,0,1,0,0,0,0,0,2,4,2,2,1,0,1,1,0,4,1,1,0,0,0,0,0,0,1,2,0,1,1,Firewood,1,1,2,4,2,1,1,1,1,0,0,0,4,2,4,2,1,0,2,0,1,2,2,Living and Non-living
MF13,Sulubung,Higher,1,23,1,4,7,4,4,4,4,4,4,4,2,3,,2,3,1,40,0,0.51,1.2,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,1,1,1,1,1,0,0,2,1,4,3,2,1,2,1,2,2,2,Living and Non-living
MF14,Sulubung,Higher,2,39,1,3,7,4,2,2,2,2,2,4,2,4,,2,2,1,20,0,0.15,2.1,0,0,0,1,0,0,0,0,0,2,4,2,2,1,0,0,0,0,4,3,1,0,0,1,0,0,0,1,2,0,2,1,Firewood,2,2,1,1,1,1,1,1,1,0,0,0,4,1,4,3,3,1,1,1,1,2,3,Living and Non-living
MF15,Sulubung,Higher,1,16,1,2,5,2,2,3,3,2,2,3,3,4,,3,2,1,20,0,,3.1,0,0,0,1,0,0,0,0,0,2,3,3,2,1,0,0,0,0,3,3,1,0,0,1,0,0,0,1,3,0,2,1,Firewood,2,2,2,1,1,1,1,1,1,0,0,0,3,2,4,3,3,1,3,1,3,3,3,Living and Non-living
MF16,Sulubung,Higher,1,63,2,2,5,4,2,2,2,2,2,3,2,2,,2,2,1,10,0,0.51,2,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,2,0,1,1,Firewood,1,2,1,1,1,1,1,1,1,0,0,0,2,1,3,4,2,1,1,1,1,3,2,Living and Non-living
MD15,Sulubung,Higher,2,61,2,2,3,5,5,3,5,5,1,4,3,5,,3,4,,20,0,1.07,0.7,0,0,0,1,0,0,0,0,0,2,4,4,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,3,3,1,Firewood,1,2,2,3,1,1,0,0,0,0,0,0,3,1,4,3,3,0,2,0,2,,,Non-Living
MD16,Sulubung,Lower,2,35,1,3,4,3,3,2,4,2,3,4,2,5,,3,2,1,20,0,2.34,0.7,0,0,0,1,0,0,0,0,0,2,3,2,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,2,2,1,Firewood,3,2,2,2,2,1,1,0,0,0,0,0,3,2,4,3,3,0,2,0,2,,,Living and Non-living
MD17,Sulubung,Higher,2,35,2,3,5,3,2,3,2,2,2,4,3,5,,3,2,1,35,0,0.81,2.3,0,0,0,1,0,0,0,0,0,2,3,2,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,2,3,1,Firewood,2,1,1,1,1,1,1,0,1,0,0,0,3,2,4,3,3,0,1,0,2,3,3,Living and Non-living
MD18,Sulubung,Higher,2,62,2,2,3,4,3,2,4,3,4,4,3,5,,3,2,1,25,0,1.98,1.3,0,0,0,1,0,0,0,0,0,2,3,3,1,1,0,0,0,0,3,3,0,0,0,1,0,0,0,1,3,4,4,1,Firewood,2,2,1,4,1,1,1,0,1,0,0,0,3,1,4,3,3,1,2,0,2,,,Living and Non-living
MD19,Sulubung,Higher,2,74,2,1,4,4,3,2,2,3,2,4,3,5,,3,2,1,15,0,3.66,0.8,0,0,0,1,0,0,0,0,0,4,3,4,1,1,0,0,0,0,4,2,0,0,0,1,0,0,0,1,3,4,3,1,Firewood,3,2,1,1,1,2,1,0,0,0,0,0,3,2,4,3,2,1,2,0,2,3,3,Non-Living
MD20,Sulubung,Higher,2,,2,3,3,4,4,3,2,3,3,3,2,5,,3,2,1,15,0,1.12,1.4,0,0,0,1,0,0,0,0,0,4,3,4,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,2,4,1,Firewood,2,2,1,2,1,1,1,1,1,0,0,0,3,1,4,3,3,1,2,0,1,3,3,Non-Living
ME17,Sulubung,Higher,2,56,2,2,6,5,5,3,5,5,2,5,3,5,,3,4,1,25,0,1.32,0.9,0,0,0,1,0,0,0,0,0,2,3,4,2,1,0,0,0,0,3,3,0,0,0,1,0,0,0,1,3,4,3,1,Firewood,3,1,1,2,1,1,1,0,1,0,0,0,3,2,4,3,2,0,1,0,1,,,Non-Living
ME18,Sulubung,Lower,2,26,1,2,6,4,3,3,2,2,4,2,2,5,,3,2,1,20,0,1.02,1.4,0,0,0,1,0,0,0,0,0,2,3,2,1,1,0,1,0,0,3,1,0,0,0,1,0,0,0,1,3,2,1,1,Firewood,1,1,1,1,1,3,0,0,1,1,0,0,3,3,4,3,3,0,2,1,2,,,Living and Non-living
ME19,Sulubung,Higher,2,44,2,3,5,3,2,2,1,2,2,4,3,5,,3,1,1,25,0,0.66,2.5,0,0,0,1,0,0,0,0,0,2,3,1,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,3,2,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,3,1,4,3,3,0,1,0,1,,,Living and Non-living
ME20,Sulubung,Higher,2,,2,3,4,5,3,3,4,3,4,4,3,5,,3,2,1,25,0,1.53,1.1,0,0,0,1,0,0,0,0,0,4,3,3,2,1,0,1,0,0,3,2,0,0,0,1,0,0,0,1,3,2,2,1,Firewood,3,4,1,4,1,2,1,0,1,0,0,0,3,2,4,3,2,0,2,1,2,,,Living and Non-living
ME21,Sulubung,Higher,1,64,2,5,6,5,4,1,5,2,2,4,1,5,,5,1,1,20,0,1.27,1.7,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,3,2,1,1,LPG,3,4,1,3,1,1,1,0,1,0,0,0,3,1,4,3,2,1,1,0,1,3,2,Living and Non-living
ME22,Sulubung,Lower,1,,2,3,6,5,5,3,1,2,4,3,3,5,,3,1,1,30,0,0.76,1.4,0,0,0,1,0,0,0,0,0,4,3,2,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,3,3,2,1,Firewood,3,1,1,1,1,1,1,0,1,0,0,0,3,1,4,3,3,0,1,0,1,3,3,Living and Non-living
MB21,Sulubung,Higher,1,54,2,3,8,4,3,2,4,2,3,4,2,3,,2,2,1,50,0,3.05,5,0,1,0,0,0,0,0,0,0,1,4,2,1,0,1,0,0,0,4,1,1,0,0,0,0,0,0,1,4,0,1,1,Firewood,1,1,1,1,1,1,1,0,0,0,0,0,4,1,2,1,4,1,1,1,1,2,2,Living
MB22,Sulubung,Ethnic,2,57,2,2,0,4,3,2,4,2,3,4,2,3,,3,2,1,30,0,1.73,1.6,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,1,0,3,3,1,0,0,1,0,0,0,1,2,0,3,1,Firewood,2,1,1,2,1,1,1,0,0,1,0,0,3,2,4,2,1,1,2,1,2,1,2,Living
MB23,Sulubung,Ethnic,2,43,1,1,8,4,2,3,4,2,3,4,3,3,,2,2,2,20,0,0.05,2.4,0,0,0,0,0,0,1,0,0,5,3,4,1,0,0,1,1,1,4,3,1,0,0,0,0,0,0,1,3,0,4,1,Firewood,2,4,1,4,1,2,1,0,1,1,0,0,3,2,4,3,2,1,1,1,2,2,3,Living and Non-living
MB24,Sulubung,Higher,2,21,1,4,5,4,3,2,4,4,2,2,2,3,,2,2,1,100,0,2.04,2.2,0,0,0,1,0,0,0,0,0,1,2,2,1,1,0,0,1,1,2,3,1,0,0,0,0,0,0,1,1,0,3,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,3,2,4,2,1,0,1,1,1,2,2,Living and Non-living
MB25,Sulubung,Higher,2,40,1,3,9,1,2,4,4,4,2,4,3,3,,2,2,1,10,0,0.25,1.5,0,0,0,1,0,0,0,0,0,2,2,2,3,0,0,0,1,0,2,2,1,0,0,0,0,0,0,1,3,0,2,1,Firewood,2,2,1,4,1,1,1,0,1,1,0,0,3,2,4,3,2,0,1,1,3,1,2,Non-Living
MC21,Sulubung,Ethnic,2,26,1,3,8,4,3,3,4,3,3,3,3,3,,3,2,1,20,0,1.02,1,0,0,0,1,0,0,0,0,0,2,4,4,2,0,0,1,1,1,2,2,0,0,0,1,0,0,0,1,4,0,3,1,Firewood,2,2,1,3,1,1,1,1,1,0,0,0,4,2,4,2,2,0,2,1,2,2,2,Non-Living
MC22,Sulubung,Ethnic,2,32,1,3,10,4,3,4,4,2,3,3,2,3,,2,3,1,10,0,0.41,2,0,0,0,0,0,0,1,0,0,1,3,2,2,0,0,1,1,1,2,3,0,0,0,1,0,0,0,1,2,0,2,1,Firewood,1,2,1,4,1,1,1,0,1,0,0,0,3,2,4,2,3,0,2,1,1,1,1,Living and Non-living
MC23,Sulubung,Higher,2,44,2,3,10,5,4,2,2,4,4,4,4,3,,1,4,1,50,0,0.76,3.8,0,0,0,1,0,0,0,0,0,4,1,2,2,0,0,1,1,0,2,4,0,0,0,1,0,0,0,1,1,0,4,1,Firewood,1,1,1,2,1,1,1,0,1,0,0,0,3,2,4,4,1,1,1,1,1,1,1,Non-Living
MC24,Sulubung,Higher,2,55,2,2,5,5,5,2,1,3,4,4,2,3,,3,4,1,10,0,0.31,0,1,0,0,0,0,0,0,0,0,4,3,4,3,0,0,1,1,0,3,2,1,0,0,0,0,0,0,1,2,0,4,1,Firewood,1,1,1,2,1,1,1,0,1,0,0,0,3,3,4,3,3,1,1,1,1,1,1,Non-Living
MC25,Sulubung,Ethnic,2,50,1,2,10,4,2,2,2,2,3,2,3,3,,3,2,1,5,0,0.51,0.7,0,0,0,1,0,0,0,0,0,4,3,2,3,1,0,0,0,1,3,2,1,0,0,0,0,1,1,1,2,12,4,1,Firewood,2,2,1,4,1,1,1,0,1,0,0,0,3,2,1,3,3,1,1,1,1,,,I don't know
MC26,Sulubung,Lower,1,41,1,2,8,5,5,3,5,2,5,5,5,5,,2,5,5,10,0,0.76,0.4,1,0,0,0,0,0,0,0,0,4,4,5,3,0,0,1,1,0,4,4,0,0,0,1,0,0,0,1,2,2,4,1,Firewood,3,2,1,5,1,1,1,1,1,0,1,0,4,1,4,1,1,1,1,1,1,2,1,Living and Non-living
MA18,Sulubung,Higher,1,48,2,2,7,4,5,1,4,4,4,5,1,5,,4,3,1,30,0,2.54,1.7,0,0,0,1,0,0,0,0,0,2,4,2,2,1,0,0,1,0,4,3,1,0,0,0,0,0,0,1,2,2,3,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,4,1,4,2,2,1,2,0,1,1,3,Living
MA19,Sulubung,Higher,1,47,2,5,4,4,4,3,4,4,4,4,1,4,,2,1,1,30,0,1.93,3.3,0,0,0,1,0,0,0,0,0,1,2,2,2,1,0,0,1,0,2,2,1,0,0,0,0,0,0,1,2,0,2,1,Firewood,2,1,2,1,2,1,1,1,1,0,0,0,4,2,4,4,3,1,2,1,,1,2,Living and Non-living
MA20,Sulubung,Higher,1,45,2,3,3,5,5,5,5,5,3,4,1,5,,2,4,1,30,0,0.87,1.4,0,0,0,1,0,0,0,0,0,2,4,5,3,1,0,0,1,1,2,2,1,0,0,0,0,0,0,1,2,4,2,1,Firewood,1,1,1,4,1,1,1,1,1,1,0,0,2,1,3,4,4,1,2,0,1,1,1,Non-Living
MA21,Sulubung,Higher,1,36,1,2,10,5,3,2,2,4,3,4,2,4,,4,2,1,30,0,1.07,5.1,0,0,0,1,0,0,0,0,0,4,4,3,2,1,0,0,1,1,4,2,1,0,0,0,0,0,0,1,4,3,1,1,Firewood,1,1,2,2,2,1,1,1,1,0,0,0,4,1,4,2,2,1,2,0,2,2,2,Living and Non-living
MF17,Sulubung,Higher,1,41,1,2,10,5,4,4,1,2,1,5,4,5,,2,2,1,20,0,0.97,0.6,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,1,1,1,Firewood,1,1,1,1,1,1,1,1,1,1,0,0,4,1,4,1,1,1,1,1,1,1,1,Living and Non-living
MF18,Sulubung,Higher,2,60,2,5,5,2,2,4,2,1,4,2,3,3,,1,3,1,40,0,1.53,1.3,0,0,0,1,0,0,0,0,0,2,1,3,3,1,0,0,0,0,3,4,1,0,0,1,0,0,0,0,1,0,3,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,2,2,4,4,1,1,1,1,1,1,1,Non-Living
MF19,Sulubung,Ethnic,1,48,2,5,5,4,2,2,4,4,4,4,4,4,,2,2,1,50,0,0.05,0.7,0,0,0,1,0,0,0,0,0,4,2,3,1,1,0,0,0,0,3,2,1,0,0,1,0,0,0,1,1,0,3,1,Firewood,1,1,1,1,1,1,1,1,0,0,0,0,2,1,4,2,2,1,1,1,1,2,1,Non-Living
MF20,Sulubung,Ethnic,1,24,1,5,10,4,4,4,4,4,3,4,3,3,,2,3,1,25,0,0.56,1.2,0,0,0,1,0,0,0,0,0,4,2,3,1,1,0,0,0,0,2,3,1,0,0,1,0,0,0,1,2,2,1,1,Firewood,2,1,1,1,1,1,1,1,0,0,0,0,3,1,4,3,2,1,1,1,1,2,2,Living and Non-living
MD21,Sulubung,Lower,2,45,1,2,,3,3,4,1,2,4,2,2,5,,2,2,1,40,0,0.2,3,0,0,0,1,0,0,0,0,0,2,3,2,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,2,3,1,1,Firewood,2,2,1,1,1,2,1,0,1,0,0,0,3,2,3,3,3,1,2,1,3,3,3,Non-Living
MD22,Sulubung,Ethnic,1,37,2,3,6,5,3,4,5,4,2,3,3,3,,3,2,1,20,0,1.02,3.8,0,0,0,1,0,0,0,0,0,4,4,4,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,0,1,1,Firewood,3,4,1,4,1,1,1,1,1,0,0,0,3,2,4,2,3,1,1,0,1,,,Living and Non-living
MD23,Sulubung,Lower,2,43,1,2,3,5,3,2,5,4,4,4,4,5,,3,2,1,15,0,1.63,1.4,0,0,0,1,0,0,0,0,0,2,3,5,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,0,1,1,Firewood,3,4,1,4,1,2,1,0,1,0,0,0,3,1,4,3,3,1,1,0,1,3,3,Non-Living
MD24,Sulubung,Lower,2,25,1,3,5,4,2,3,4,4,4,4,2,5,,2,2,1,15,0,0.25,1.1,0,0,0,1,0,0,0,0,0,4,3,2,1,1,0,0,0,0,4,2,0,0,0,1,0,0,0,1,3,2,2,1,Firewood,3,4,1,4,1,1,1,1,1,0,0,0,3,1,4,2,2,1,2,0,1,,,Living and Non-living
MD25,Sulubung,Lower,2,31,2,2,3,4,5,4,4,4,4,5,4,5,,3,2,1,15,0,0.25,1.1,0,0,0,1,0,0,0,0,0,2,3,4,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,4,2,1,Firewood,3,4,1,4,1,2,1,0,1,0,0,0,3,1,4,2,2,0,2,1,1,,,Living and Non-living
